Domain Code|Domain|Area Code|Area|Element Code|Element|Item Code|Item|Year Code|Year|Unit|Value
QC|Crops|2|Afghanistan|5419|Yield|800|Agave fibres nes|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|221|Almonds, with shell|2010|2010|hg/ha|49955
QC|Crops|2|Afghanistan|5419|Yield|711|Anise, badian, fennel, coriander|2010|2010|hg/ha|6000
QC|Crops|2|Afghanistan|5419|Yield|515|Apples|2010|2010|hg/ha|70000
QC|Crops|2|Afghanistan|5419|Yield|526|Apricots|2010|2010|hg/ha|80000
QC|Crops|2|Afghanistan|5419|Yield|226|Areca nuts|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|366|Artichokes|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|367|Asparagus|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|572|Avocados|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|203|Bambara beans|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|486|Bananas|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|44|Barley|2010|2010|hg/ha|20613
QC|Crops|2|Afghanistan|5419|Yield|782|Bastfibres, other|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|176|Beans, dry|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|414|Beans, green|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|558|Berries nes|2010|2010|hg/ha|78328
QC|Crops|2|Afghanistan|5419|Yield|552|Blueberries|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|216|Brazil nuts, with shell|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|181|Broad beans, horse beans, dry|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|89|Buckwheat|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|358|Cabbages and other brassicas|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|101|Canary seed|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|461|Carobs|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|426|Carrots and turnips|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|217|Cashew nuts, with shell|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|591|Cashewapple|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|125|Cassava|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|378|Cassava leaves|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|265|Castor oil seed|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|393|Cauliflowers and broccoli|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|108|Cereals nes|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|531|Cherries|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|530|Cherries, sour|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|220|Chestnut|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|191|Chick peas|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|459|Chicory roots|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|689|Chillies and peppers, dry|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|401|Chillies and peppers, green|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|693|Cinnamon (cannella)|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|698|Cloves|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|661|Cocoa, beans|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|249|Coconuts|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|656|Coffee, green|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|813|Coir|2010|2010||0
QC|Crops|2|Afghanistan|5423|Extraction Rate|767|Cotton lint|2010|2010||0
QC|Crops|2|Afghanistan|5423|Extraction Rate|329|Cottonseed|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|195|Cow peas, dry|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|554|Cranberries|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|397|Cucumbers and gherkins|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|550|Currants|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|577|Dates|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|399|Eggplants (aubergines)|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|821|Fibre crops nes|2010|2010||0
QC|Crops|2|Afghanistan|5419|Yield|569|Figs|2010|2010|hg/ha|45000
QC|Crops|2|Afghanistan|5419|Yield|773|Flax fibre and tow|2010|2010||0
